"x","y"
0,0.982035928143713
0.002,0.982035928143713
0.004,0.982035928143713
0.006,0.980039920159681
0.008,0.980039920159681
0.01,0.980039920159681
0.012,0.980039920159681
0.014,0.980039920159681
0.016,0.980039920159681
0.018,0.978043912175649
0.02,0.960079840319361
0.022,0.960079840319361
0.024,0.960079840319361
0.026,0.958083832335329
0.028,0.942115768463074
0.03,0.918163672654691
0.032,0.918163672654691
0.034,0.914171656686627
0.036,0.908183632734531
0.038,0.904191616766467
0.04,0.904191616766467
0.042,0.892215568862275
0.044,0.892215568862275
0.046,0.892215568862275
0.048,0.890219560878243
0.05,0.884231536926148
0.052,0.874251497005988
0.054,0.86626746506986
0.056,0.86626746506986
0.058,0.862275449101796
0.06,0.844311377245509
0.062,0.842315369261477
0.064,0.840319361277445
0.066,0.830339321357285
0.068,0.830339321357285
0.07,0.802395209580838
0.072,0.802395209580838
0.074,0.800399201596806
0.076,0.796407185628742
0.078,0.784431137724551
0.08,0.784431137724551
0.082,0.778443113772455
0.084,0.774451097804391
0.086,0.774451097804391
0.088,0.774451097804391
0.09,0.774451097804391
0.092,0.764471057884232
0.094,0.764471057884232
0.096,0.764471057884232
0.098,0.756487025948104
0.1,0.746506986027944
0.102,0.746506986027944
0.104,0.746506986027944
0.106,0.724550898203593
0.108,0.716566866267465
0.11,0.696606786427146
0.112,0.684630738522954
0.114,0.684630738522954
0.116,0.684630738522954
0.118,0.68063872255489
0.12,0.68063872255489
0.122,0.672654690618762
0.124,0.662674650698603
0.126,0.662674650698603
0.128,0.644710578842315
0.13,0.644710578842315
0.132,0.644710578842315
0.134,0.63872255489022
0.136,0.630738522954092
0.138,0.614770459081836
0.14,0.600798403193613
0.142,0.600798403193613
0.144,0.596806387225549
0.146,0.596806387225549
0.148,0.594810379241517
0.15,0.592814371257485
0.152,0.592814371257485
0.154,0.592814371257485
0.156,0.592814371257485
0.158,0.592814371257485
0.16,0.592814371257485
0.162,0.592814371257485
0.164,0.592814371257485
0.166,0.592814371257485
0.168,0.592814371257485
0.17,0.592814371257485
0.172,0.592814371257485
0.174,0.592814371257485
0.176,0.592814371257485
0.178,0.590818363273453
0.18,0.582834331337325
0.182,0.582834331337325
0.184,0.572854291417166
0.186,0.572854291417166
0.188,0.564870259481038
0.19,0.546906187624751
0.192,0.546906187624751
0.194,0.546906187624751
0.196,0.546906187624751
0.198,0.542914171656687
0.2,0.542914171656687
0.202,0.542914171656687
0.204,0.540918163672655
0.206,0.526946107784431
0.208,0.48502994011976
0.21,0.48502994011976
0.212,0.48502994011976
0.214,0.48502994011976
0.216,0.477045908183633
0.218,0.477045908183633
0.22,0.463073852295409
0.222,0.463073852295409
0.224,0.463073852295409
0.226,0.453093812375249
0.228,0.451097804391218
0.23,0.451097804391218
0.232,0.429141716566866
0.234,0.42315369261477
0.236,0.417165668662675
0.238,0.417165668662675
0.24,0.417165668662675
0.242,0.417165668662675
0.244,0.417165668662675
0.246,0.401197604790419
0.248,0.401197604790419
0.25,0.401197604790419
0.252,0.387225548902196
0.254,0.387225548902196
0.256,0.375249500998004
0.258,0.375249500998004
0.26,0.369261477045908
0.262,0.365269461077844
0.264,0.365269461077844
0.266,0.365269461077844
0.268,0.365269461077844
0.27,0.365269461077844
0.272,0.365269461077844
0.274,0.365269461077844
0.276,0.365269461077844
0.278,0.365269461077844
0.28,0.365269461077844
0.282,0.365269461077844
0.284,0.365269461077844
0.286,0.365269461077844
0.288,0.365269461077844
0.29,0.365269461077844
0.292,0.331337325349301
0.294,0.331337325349301
0.296,0.331337325349301
0.298,0.331337325349301
0.3,0.331337325349301
0.302,0.331337325349301
0.304,0.331337325349301
0.306,0.331337325349301
0.308,0.331337325349301
0.31,0.331337325349301
0.312,0.331337325349301
0.314,0.331337325349301
0.316,0.331337325349301
0.318,0.331337325349301
0.32,0.331337325349301
0.322,0.281437125748503
0.324,0.281437125748503
0.326,0.281437125748503
0.328,0.281437125748503
0.33,0.281437125748503
0.332,0.249500998003992
0.334,0.231536926147705
0.336,0.231536926147705
0.338,0.231536926147705
0.34,0.173652694610778
0.342,0.173652694610778
0.344,0.173652694610778
0.346,0.173652694610778
0.348,0.173652694610778
0.35,0.173652694610778
0.352,0.173652694610778
0.354,0.173652694610778
0.356,0.173652694610778
0.358,0.173652694610778
0.36,0.173652694610778
0.362,0.173652694610778
0.364,0.173652694610778
0.366,0.173652694610778
0.368,0.173652694610778
0.37,0.173652694610778
0.372,0.173652694610778
0.374,0.173652694610778
0.376,0.173652694610778
0.378,0.173652694610778
0.38,0.171656686626747
0.382,0.171656686626747
0.384,0.171656686626747
0.386,0.143712574850299
0.388,0.143712574850299
0.39,0.143712574850299
0.392,0.143712574850299
0.394,0.143712574850299
0.396,0.143712574850299
0.398,0.143712574850299
0.4,0.143712574850299
0.402,0.143712574850299
0.404,0.143712574850299
0.406,0.125748502994012
0.408,0.093812375249501
0.41,0.093812375249501
0.412,0.093812375249501
0.414,0.0718562874251497
0.416,0.0718562874251497
0.418,0.0718562874251497
0.42,0.0718562874251497
0.422,0.0718562874251497
0.424,0.0718562874251497
0.426,0.0718562874251497
0.428,0.0718562874251497
0.43,0.0718562874251497
0.432,0.0718562874251497
0.434,0.0718562874251497
0.436,0.063872255489022
0.438,0.063872255489022
0.44,0.063872255489022
0.442,0.063872255489022
0.444,0.063872255489022
0.446,0.063872255489022
0.448,0.063872255489022
0.45,0.063872255489022
0.452,0.063872255489022
0.454,0.063872255489022
0.456,0.063872255489022
0.458,0.063872255489022
0.46,0.063872255489022
0.462,0.063872255489022
