"x","y"
0,0.926147704590818
0.002,0.838323353293413
0.004,0.800399201596806
0.006,0.766467065868264
0.008,0.718562874251497
0.01,0.68063872255489
0.012,0.644710578842315
0.014,0.616766467065868
0.016,0.596806387225549
0.018,0.582834331337325
0.02,0.562874251497006
0.022,0.546906187624751
0.024,0.536926147704591
0.026,0.510978043912176
0.028,0.497005988023952
0.03,0.48502994011976
0.032,0.467065868263473
0.034,0.457085828343313
0.036,0.43313373253493
0.038,0.417165668662675
0.04,0.411177644710579
0.042,0.389221556886228
0.044,0.365269461077844
0.046,0.355289421157685
0.048,0.341317365269461
0.05,0.31936127744511
0.052,0.317365269461078
0.054,0.315369261477046
0.056,0.30938123752495
0.058,0.305389221556886
0.06,0.293413173652695
0.062,0.287425149700599
0.064,0.279441117764471
0.066,0.273453093812375
0.068,0.261477045908184
0.07,0.25748502994012
0.072,0.25748502994012
0.074,0.251497005988024
0.076,0.243512974051896
0.078,0.243512974051896
0.08,0.243512974051896
0.082,0.2375249500998
0.084,0.231536926147705
0.086,0.225548902195609
0.088,0.221556886227545
0.09,0.221556886227545
0.092,0.219560878243513
0.094,0.219560878243513
0.096,0.219560878243513
0.098,0.217564870259481
0.1,0.215568862275449
0.102,0.211576846307385
0.104,0.209580838323353
0.106,0.209580838323353
0.108,0.209580838323353
0.11,0.207584830339321
0.112,0.207584830339321
0.114,0.201596806387226
0.116,0.201596806387226
0.118,0.197604790419162
0.12,0.197604790419162
0.122,0.197604790419162
0.124,0.191616766467066
0.126,0.179640718562874
0.128,0.179640718562874
0.13,0.17564870259481
0.132,0.17564870259481
0.134,0.167664670658683
0.136,0.167664670658683
0.138,0.167664670658683
0.14,0.167664670658683
0.142,0.167664670658683
0.144,0.163672654690619
0.146,0.163672654690619
0.148,0.163672654690619
0.15,0.159680638722555
0.152,0.159680638722555
0.154,0.157684630738523
0.156,0.153692614770459
0.158,0.151696606786427
0.16,0.147704590818363
0.162,0.147704590818363
0.164,0.147704590818363
0.166,0.143712574850299
0.168,0.143712574850299
0.17,0.143712574850299
0.172,0.143712574850299
0.174,0.139720558882236
0.176,0.139720558882236
0.178,0.139720558882236
0.18,0.135728542914172
0.182,0.131736526946108
0.184,0.131736526946108
0.186,0.129740518962076
0.188,0.129740518962076
0.19,0.127744510978044
0.192,0.127744510978044
0.194,0.127744510978044
0.196,0.127744510978044
0.198,0.125748502994012
0.2,0.125748502994012
0.202,0.125748502994012
0.204,0.125748502994012
0.206,0.125748502994012
0.208,0.125748502994012
0.21,0.12375249500998
0.212,0.12375249500998
0.214,0.12375249500998
0.216,0.12375249500998
0.218,0.12375249500998
0.22,0.12375249500998
0.222,0.12375249500998
0.224,0.12375249500998
0.226,0.119760479041916
0.228,0.119760479041916
0.23,0.119760479041916
0.232,0.119760479041916
0.234,0.117764471057884
0.236,0.117764471057884
0.238,0.117764471057884
0.24,0.115768463073852
0.242,0.115768463073852
0.244,0.109780439121756
0.246,0.109780439121756
0.248,0.109780439121756
0.25,0.109780439121756
0.252,0.109780439121756
0.254,0.109780439121756
0.256,0.109780439121756
0.258,0.109780439121756
0.26,0.101796407185629
0.262,0.0958083832335329
0.264,0.0958083832335329
0.266,0.0958083832335329
0.268,0.0918163672654691
0.27,0.0918163672654691
0.272,0.0918163672654691
0.274,0.0818363273453094
0.276,0.0818363273453094
0.278,0.0798403193612774
0.28,0.0798403193612774
0.282,0.0798403193612774
0.284,0.0798403193612774
0.286,0.0798403193612774
0.288,0.0798403193612774
0.29,0.0798403193612774
0.292,0.0798403193612774
0.294,0.0798403193612774
0.296,0.0798403193612774
0.298,0.0798403193612774
0.3,0.0798403193612774
0.302,0.0798403193612774
0.304,0.0798403193612774
0.306,0.0798403193612774
0.308,0.0778443113772455
0.31,0.0778443113772455
0.312,0.0778443113772455
0.314,0.0778443113772455
0.316,0.0778443113772455
0.318,0.0778443113772455
0.32,0.0738522954091816
0.322,0.0738522954091816
0.324,0.0738522954091816
0.326,0.0738522954091816
0.328,0.0738522954091816
0.33,0.0738522954091816
0.332,0.0738522954091816
0.334,0.0738522954091816
0.336,0.0738522954091816
0.338,0.0738522954091816
0.34,0.0738522954091816
0.342,0.0738522954091816
0.344,0.0738522954091816
0.346,0.0738522954091816
0.348,0.0738522954091816
0.35,0.06187624750499
0.352,0.06187624750499
0.354,0.06187624750499
0.356,0.06187624750499
0.358,0.06187624750499
0.36,0.06187624750499
0.362,0.06187624750499
0.364,0.0598802395209581
0.366,0.0598802395209581
0.368,0.0598802395209581
0.37,0.0558882235528942
0.372,0.0558882235528942
0.374,0.0558882235528942
0.376,0.0558882235528942
0.378,0.0558882235528942
0.38,0.0558882235528942
0.382,0.0558882235528942
0.384,0.0558882235528942
0.386,0.0558882235528942
0.388,0.0558882235528942
0.39,0.0558882235528942
0.392,0.0558882235528942
0.394,0.0558882235528942
0.396,0.0558882235528942
0.398,0.0558882235528942
0.4,0.0558882235528942
0.402,0.0558882235528942
0.404,0.0558882235528942
0.406,0.0558882235528942
0.408,0.0558882235528942
0.41,0.0558882235528942
0.412,0.0558882235528942
0.414,0.0558882235528942
0.416,0.0558882235528942
0.418,0.0558882235528942
0.42,0.0558882235528942
0.422,0.0558882235528942
0.424,0.0558882235528942
0.426,0.0558882235528942
0.428,0.0558882235528942
0.43,0.0518962075848303
0.432,0.0518962075848303
0.434,0.0518962075848303
0.436,0.0518962075848303
0.438,0.0518962075848303
0.44,0.0518962075848303
0.442,0.0518962075848303
0.444,0.0518962075848303
0.446,0.0518962075848303
0.448,0.0518962075848303
